neighbourhood_group_cleansed,bathrooms,bedrooms,price,calefaccion,piscina,aire_acondicionado,ascensor,movilidad_reducida,terraza,balcon,distance_to_center,distance_to_retiro,distance_to_atocha,distance_to_chamartin,renta_bin,DISTANCE_TO_METRO,DISTANCE_TO_CERCANIAS,DISTANCE_TO_EMT,DISTANCE_TO_INTERURBANOS,DISTANCE_TO_MLO
Centro,1,1,120.0,1,0,1,1,0,0,0,0.009164900435903572,0.00758701176748802,0.008500540145189323,0.06013007698556347,bajo,328.79450695553095,780.3890369838854,186.25265806635562,571.2514380754048,7858.5121604280275
Centro,1,1,95.0,1,0,1,1,0,1,0,0.008843720936348371,0.010905729666554771,0.008062598511646882,0.06323584058340206,bajo,282.6964998335767,683.0284888779674,152.1973933194925,472.34051452580786,8208.370846837972
Retiro,1,2,97.0,1,0,1,1,0,0,0,0.029590527200440742,0.014353798366981816,0.017041646128235707,0.06306440500226333,alto,508.1378791899749,1265.1764819515352,146.30854194226055,339.5026595978465,7832.772964052831
Centro,1,1,90.0,1,0,1,1,0,0,0,0.006236353100971293,0.02152280984351309,0.022824678721945272,0.05793741870578553,bajo,149.92925287441136,611.6159145252645,180.5801244321018,893.1230578240226,6059.547335737983
Centro,1,1,70.0,1,0,1,0,0,0,0,0.004855687386974068,0.019465005819675463,0.01842614302451695,0.06230323956496839,bajo,302.8345311024763,507.89886312709274,14.819853461644636,1221.0248671971383,5972.712515234196
Centro,1,1,100.0,1,0,0,1,0,0,0,0.013797726530193592,0.027493938929827183,0.023854123579253123,0.06991888561900056,bajo,395.441715880094,761.7904467890078,81.51989222547773,1287.5223565759252,5214.882113026446
Centro,1,1,80.0,1,0,1,1,0,1,0,0.00810755820207552,0.02202986789701668,0.019632880959246844,0.06532260645664646,bajo,167.5204734544625,826.5045409812244,129.28131361529162,1234.8824976362562,5707.905501080618
Centro,1,1,101.0,1,1,1,1,0,0,0,0.002864576757573278,0.016240197891651705,0.015665149305382754,0.06117491379879522,bajo,186.8775701145406,336.1461032652704,87.35620873641058,1173.5970092844204,6234.7733752960075
Arganzuela,2,3,141.0,1,0,1,1,0,0,0,0.01723935613646955,0.016338219595779743,0.006629688888627506,0.07184289786951387,medio,244.43014837256277,334.01678075076705,63.458911940233534,196.64330619422455,6632.873470746962
Centro,3,3,259.0,1,0,1,0,0,0,0,0.0106395911575617,0.02437994921159648,0.02130059104250315,0.06743200394686488,bajo,360.7894520628903,854.8184804305057,95.23186688165468,1247.971608382636,5491.440690980793
Centro,1,1,91.0,1,0,1,0,0,0,0,0.009152092656870984,0.024097298760649304,0.02584857448216227,0.056914968227083966,bajo,202.46181930636385,739.1702303870034,132.7208287104288,739.0646677968858,7525.384719117427
San Blas - Canillejas,2,2,66.0,1,0,1,1,0,1,0,0.0713764386895276,0.05717771131796032,0.06419067772472822,0.06185280268742759,bajo,346.40360275665114,5086.8273962717885,115.2623802897527,213.24838757623428,5591.8473893578575
Centro,1,1,70.0,1,0,1,0,0,0,0,0.009050270714184948,0.00934653452141463,0.007807121285082253,0.062015924070271906,bajo,267.15537440029243,808.7931157987887,8.960676557540648,460.59023226373245,8069.633257044293
Centro,1,1,75.0,1,0,1,1,0,0,1,0.01238334768953826,0.024493606667048577,0.028725952425638624,0.05033134608064411,bajo,357.1651501385977,1196.741174643022,43.919240553206926,1008.7201662137397,6831.312124771647
Centro,1,1,102.0,1,0,0,1,0,0,0,0.00196216716922814,0.014977775254022236,0.015192620799587034,0.05997199821824618,bajo,213.24408861913662,217.3367211626909,41.68610287110773,1163.4129883585329,7877.45894632831
Centro,1,1,116.0,1,0,1,1,0,0,0,0.008966967157291403,0.02033097183019081,0.024769020787264277,0.05093167170130816,bajo,150.19887658772743,991.6330255639621,123.33759956153011,1324.465169576841,6910.799121351091
Centro,1,1,98.0,1,0,1,1,0,0,0,0.005434721704007652,0.01930971350279414,0.017660057495942374,0.06331015544357475,bajo,179.16020373278852,583.7099919259379,38.18859039447512,1313.6162544079705,5954.5190275895975
Chamberí,2,2,129.0,1,0,1,0,0,0,0,0.0139320063163937,0.024205573729208604,0.029515406057856308,0.04726692971083983,alto,151.4937523525591,1500.5858106646663,41.859863123278195,1024.5946625660706,6514.933407146038
Centro,1,1,100.0,1,0,1,0,0,0,0,0.007425159930934468,0.011809151856081326,0.017672039575552596,0.052026043269596874,bajo,145.02629572637562,653.3227470281804,186.16059686277984,1578.1135183319961,7013.416964493965
Centro,1,1,67.0,1,0,0,1,1,1,0,0.00899667160676195,0.016910591460974362,0.02264595060402341,0.04936539462305528,bajo,56.31536148260922,973.8450063237029,134.65345239815028,1656.9629767510642,6745.518208306726
Barajas,2,4,166.0,1,1,1,1,1,0,0,0.13203301594676914,0.11868538186128955,0.12617523307987163,0.10276031553226182,medio,737.3425268535165,2674.1781896900898,78.13692867971454,81.47278984466627,6237.525966232538
Centro,1,1,94.0,1,0,0,0,0,0,0,0.0033442786965190907,0.018360027547910197,0.020149242337120035,0.057099914275677115,bajo,130.99742856881807,363.6117560833523,137.95324151870244,1162.0869422828814,6284.690605784814
Centro,1,1,64.0,1,0,0,1,0,0,1,0.011854830239183935,0.018895815080592668,0.025324154137104257,0.046641440139537374,bajo,69.91624168720168,1088.4969729010904,45.679840653933695,1530.8235369304305,6457.8582406233045
Centro,1,1,127.0,1,0,1,1,0,0,0,0.0022125324856384822,0.013449505550762708,0.014736614765948728,0.05854809419861309,bajo,161.1830708846792,152.36747693367843,96.68559572169096,1141.1626299119373,7722.348205210933
Centro,1,2,152.0,1,0,1,1,1,1,0,0.010667567670281201,0.023337856533108933,0.019544214048152063,0.06832298879798518,bajo,185.22261741939292,678.2279880756474,29.69594404843852,1290.0594784087732,5568.233815004813
Centro,1,1,120.0,1,0,0,1,0,0,0,0.005141692328405346,0.02032125162385437,0.02185714489040035,0.057467042539961655,bajo,171.53959477665146,520.6826730929108,119.86786336935867,996.7071043554275,6152.726150904572
Centro,1,1,87.0,1,0,0,0,0,0,0,0.006963476143426515,0.014241038429834119,0.011246729780694385,0.06404328046165349,bajo,195.79012142560472,566.901029748315,50.128138723234656,743.4011737576232,8310.659014612182
Centro,1,1,96.0,1,0,1,1,0,0,0,0.0012015406776291104,0.014491794076649158,0.016340299592111456,0.057534864754249626,bajo,64.19393505058706,56.79150819349712,194.52148226669553,1305.8556031471683,7615.972965164194
Moratalaz,2,4,190.0,1,0,1,1,0,0,0,0.05470710831327206,0.03923179317288453,0.041567769855502396,0.07390020373645624,bajo,411.44780933081466,2726.218265344971,123.71647191976426,688.7716770713677,8224.319814719278
Centro,1,1,63.0,1,0,1,1,0,0,0,0.010434256082729841,0.023729014635251042,0.02037213957246569,0.06769383548218583,bajo,290.14935865487115,781.7503488855882,111.8482839968107,1343.851879841821,5539.560941088462
Centro,1,1,118.0,1,0,0,1,0,0,0,0.006969146289175848,0.018960282159292227,0.02290789328506382,0.05250166144313878,bajo,222.55725406430275,773.0370775275416,39.988616637208146,1303.3748528454582,7079.179946084826
Centro,1,1,109.0,1,0,0,1,0,0,0,0.0005440588203510229,0.015337221898375416,0.016337439541127464,0.058759356465924784,bajo,68.0862144394922,78.64598015671375,178.61239184161255,1277.338880431078,7747.992529911772
Centro,1,1,76.0,1,0,1,1,0,0,0,0.012090599654271884,0.021338887402110825,0.026984929697144572,0.047442463703838055,bajo,116.90275190648987,1327.5113035738705,86.72964494714162,1283.7483362261648,6542.202465063837
Ciudad Lineal,1,2,97.0,1,0,1,1,1,0,0,0.06051403969328016,0.04759577556422465,0.055988090579693284,0.048140662545189866,bajo,381.586514642348,4488.083212333367,110.10399103218754,787.0675846901414,4601.046311725095
Centro,1,2,114.0,1,0,0,0,0,0,0,0.006452635120625575,0.01787729944818228,0.02200486516113797,0.05245183078110846,bajo,316.6715396718207,716.3512344364542,49.555329483195706,1378.9581314864524,7074.954341458874
Centro,1,2,176.0,1,0,0,1,0,0,0,0.008075301851942464,0.021895528117859133,0.019436689192350053,0.06539177999021942,bajo,150.91037003123927,827.8675052386576,109.01961474048552,1255.5160873482266,5716.518505889769
Centro,1,1,78.0,1,0,0,0,0,0,0,0.007799205087702578,0.013796804831553962,0.0103158857477185,0.06445984095768265,bajo,116.59462836862315,513.1274110755754,102.31659470188342,659.3047325345001,6402.946210600709
Centro,1,2,148.0,1,0,0,1,0,0,0,0.0009827003612526276,0.015988643205725763,0.0166373124860943,0.059274945890231294,bajo,130.61920088163217,143.13810431210084,137.7073031971385,1293.243473307821,7803.509663773669
